,0,1,2,3
125,"[19776.0, 18038.0, 17973.0, 18866.0, 16830.0, 17466.0, 17780.0, 17413.0, 19253.0, 16649.0]","[16201.0, 15443.0, 16526.0, 12569.0, 17722.0, 14346.0, 14780.0, 12201.0, 15106.0, 15157.0]","[17732.0, 15552.0, 16153.0, 15338.0, 15845.0, 14867.0, 14417.0, 16123.0, 15880.0, 17375.0]","[17022.0, 18658.0, 16277.0, 18224.0, 17203.0, 16188.0, 16135.0, 17753.0, 16274.0, 16590.0]"
126,"[19378.0, 16259.0, 17658.0, 16503.0, 17639.0, 17075.0, 14926.0, 13273.0, 17292.0, 17934.0]","[13316.0, 13451.0, 13801.0, 11419.0, 12800.0, 15100.0, 14797.0, 12594.0, 13857.0, 13484.0]","[14625.0, 14411.0, 14586.0, 17508.0, 15240.0, 13585.0, 14272.0, 15237.0, 14049.0, 13022.0]","[15663.0, 15736.0, 16118.0, 14774.0, 15016.0, 14657.0, 16311.0, 15927.0, 16033.0, 16117.0]"
127,"[11760.0, 12309.0, 13807.0, 10254.0, 11631.0, 10150.0, 10076.0, 12052.0, 12135.0, 10702.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 9834.0, 0.0, 9277.0, 0.0, 0.0]","[0.0, 0.0, 11424.0, 0.0, 13703.0, 0.0, 11345.0, 10488.0, 9752.0, 11219.0]","[0.0, 10697.0, 11399.0, 11439.0, 10965.0, 0.0, 0.0, 11006.0, 9378.0, 10918.0]"
13,"[15767.0, 15007.0, 18123.0, 15929.0, 16407.0, 18124.0, 16940.0, 16850.0, 16930.0, 17525.0]","[13942.0, 11241.0, 15531.0, 13938.0, 14436.0, 11905.0, 13686.0, 15121.0, 12635.0, 13946.0]","[14531.0, 14391.0, 15715.0, 14379.0, 13875.0, 16807.0, 14297.0, 14254.0, 15168.0, 15071.0]","[15367.0, 15945.0, 15852.0, 14907.0, 15993.0, 16502.0, 15852.0, 15306.0, 16060.0, 17865.0]"
14,"[15954.0, 16186.0, 14201.0, 16383.0, 15374.0, 16705.0, 14022.0, 16418.0, 14220.0, 16451.0]","[14299.0, 13193.0, 14547.0, 12974.0, 14161.0, 14279.0, 14989.0, 14165.0, 12252.0, 12614.0]","[14387.0, 13447.0, 14752.0, 14576.0, 13774.0, 14431.0, 13738.0, 15392.0, 14268.0, 13292.0]","[14947.0, 14356.0, 15020.0, 14955.0, 15984.0, 15435.0, 14380.0, 14556.0, 13469.0, 14793.0]"
15,"[15917.0, 15935.0, 16187.0, 16120.0, 17355.0, 17458.0, 16424.0, 14928.0, 18092.0, 17489.0]","[14853.0, 14179.0, 14650.0, 15075.0, 13590.0, 13595.0, 13203.0, 14345.0, 14537.0, 13617.0]","[15636.0, 15881.0, 15291.0, 14703.0, 15708.0, 14482.0, 15805.0, 14202.0, 16693.0, 16022.0]","[15064.0, 14591.0, 16285.0, 15617.0, 15706.0, 16791.0, 15196.0, 15586.0, 16334.0, 15412.0]"
16,"[17693.0, 17841.0, 17843.0, 18695.0, 18459.0, 19581.0, 16203.0, 18948.0, 16593.0, 17901.0]","[14716.0, 17704.0, 16026.0, 16406.0, 15145.0, 15321.0, 14772.0, 15833.0, 17534.0, 16274.0]","[17143.0, 15795.0, 14868.0, 16602.0, 17736.0, 16426.0, 15855.0, 16578.0, 14583.0, 16540.0]","[18154.0, 17249.0, 16889.0, 17285.0, 16417.0, 17079.0, 17321.0, 16802.0, 17767.0, 15865.0]"
17,"[18908.0, 16984.0, 19036.0, 18218.0, 17119.0, 17111.0, 18966.0, 16395.0, 16690.0, 16924.0]","[17114.0, 15708.0, 14762.0, 13831.0, 18199.0, 14490.0, 16793.0, 13789.0, 15384.0, 12348.0]","[14786.0, 17697.0, 17140.0, 15392.0, 15913.0, 14078.0, 14646.0, 14349.0, 15648.0, 16285.0]","[17635.0, 16796.0, 16712.0, 16090.0, 17529.0, 16945.0, 16060.0, 16565.0, 16340.0, 16604.0]"
18,"[17762.0, 18032.0, 20414.0, 18101.0, 18963.0, 16969.0, 19442.0, 19594.0, 19729.0, 15548.0]","[13761.0, 16461.0, 18873.0, 15313.0, 15759.0, 15531.0, 15761.0, 17685.0, 20059.0, 13581.0]","[15517.0, 16696.0, 18944.0, 16472.0, 14981.0, 15712.0, 17103.0, 17440.0, 19245.0, 15671.0]","[18340.0, 16637.0, 18249.0, 17795.0, 17419.0, 16644.0, 17554.0, 17047.0, 15986.0, 19004.0]"
19,"[19776.0, 18038.0, 17973.0, 18866.0, 16830.0, 17466.0, 17780.0, 17413.0, 19253.0, 16649.0]","[16201.0, 15443.0, 16526.0, 12569.0, 17722.0, 14346.0, 14780.0, 12201.0, 15106.0, 15157.0]","[17732.0, 15552.0, 16153.0, 15338.0, 15845.0, 14867.0, 14417.0, 16123.0, 15880.0, 17375.0]","[17022.0, 18658.0, 16277.0, 18224.0, 17203.0, 16188.0, 16135.0, 17753.0, 16274.0, 16590.0]"
20,"[16882.0, 17811.0, 17582.0, 17329.0, 14830.0, 16354.0, 15868.0, 18887.0, 17575.0, 16359.0]","[12254.0, 16095.0, 16278.0, 14815.0, 14532.0, 13887.0, 12817.0, 13906.0, 15659.0, 14889.0]","[16122.0, 15790.0, 16650.0, 15016.0, 17475.0, 17381.0, 16427.0, 17961.0, 13821.0, 14316.0]","[16438.0, 16055.0, 15546.0, 15986.0, 14954.0, 16728.0, 16441.0, 16654.0, 16323.0, 17029.0]"
21,"[18389.0, 18179.0, 16796.0, 18207.0, 20828.0, 19929.0, 18298.0, 19176.0, 16782.0, 17960.0]","[18038.0, 16716.0, 14350.0, 16489.0, 16213.0, 16720.0, 18987.0, 14783.0, 16022.0, 15187.0]","[18747.0, 14923.0, 17987.0, 18114.0, 17450.0, 19095.0, 19975.0, 17351.0, 14809.0, 19187.0]","[17283.0, 17359.0, 18258.0, 18968.0, 18325.0, 17347.0, 19053.0, 17262.0, 16803.0, 17061.0]"
22,"[19034.0, 16239.0, 17489.0, 17298.0, 19241.0, 18672.0, 17438.0, 17164.0, 19763.0, 18282.0]","[16474.0, 13727.0, 15727.0, 14057.0, 15072.0, 12790.0, 14088.0, 15045.0, 15484.0, 14918.0]","[16782.0, 14994.0, 15746.0, 16159.0, 18281.0, 16928.0, 16282.0, 16948.0, 16140.0, 18789.0]","[17775.0, 17143.0, 17100.0, 16884.0, 17685.0, 16490.0, 17338.0, 17514.0, 17773.0, 17562.0]"
23,"[18555.0, 18619.0, 19647.0, 16868.0, 16042.0, 15798.0, 19145.0, 19438.0, 19485.0, 18189.0]","[14886.0, 15465.0, 16772.0, 15668.0, 18276.0, 14019.0, 17317.0, 17767.0, 16157.0, 17184.0]","[15283.0, 16566.0, 14617.0, 15589.0, 14611.0, 18283.0, 17048.0, 15722.0, 18474.0, 16025.0]","[17305.0, 16941.0, 17133.0, 15941.0, 16385.0, 17664.0, 15869.0, 18030.0, 17140.0, 18833.0]"
