,T-GA_0.7,T-GA_0.8,T-GA_1.0
73,1474.7000000000007,1691.2000000000007,376.3000000000011
74,1688.800000000001,1340.300000000003,221.70000000000073
76,1913.0,835.3000000000011,175.3000000000011
77,4462.9,1144.7000000000007,224.39999999999964
78,1433.3999999999996,822.6999999999989,406.10000000000036
79,2190.7000000000007,389.8000000000011,205.10000000000036
8,6325.799999999999,7230.7,4859.6
80,2071.5999999999985,766.8999999999996,191.20000000000073
81,2909.3999999999996,2573.2,2126.3
82,2270.600000000002,984.2000000000007,201.5
83,6140.5,3792.8999999999996,416.60000000000036
84,1968.0999999999985,1283.3999999999978,276.2999999999993
85,2292.0,1527.7999999999993,477.6999999999989
86,1326.0,2159.2999999999993,417.7999999999993
87,2183.2000000000007,1603.300000000001,509.2000000000007
88,2482.5,1647.6000000000022,285.1000000000022
9,7850.3,2961.9000000000005,2948.6000000000004
90,3663.2999999999993,3588.7999999999993,681.3999999999996
91,2940.4000000000015,1028.0,216.60000000000218
92,2902.7000000000007,1967.2999999999993,362.2000000000007
93,1307.7999999999993,1625.2999999999993,482.59999999999854
94,2394.800000000001,1432.2000000000007,682.0
95,2202.8999999999996,1089.2999999999993,487.7999999999993
96,3782.3999999999996,4160.799999999999,471.7999999999993
97,1819.5,1149.8999999999996,452.10000000000036
98,2383.600000000002,1894.2000000000007,815.4000000000015
