,0,1,2,3
123,"[17334.0, 17654.0, 16923.0, 17050.0, 15849.0, 15810.0, 16845.0, 15905.0, 17962.0, 18021.0]","[14616.0, 17353.0, 14330.0, 14447.0, 13711.0, 17133.0, 13383.0, 15255.0, 16411.0, 15072.0]","[14677.0, 15572.0, 15370.0, 14614.0, 15629.0, 16781.0, 16158.0, 15189.0, 16279.0, 15571.0]","[15140.0, 16648.0, 17803.0, 16029.0, 15870.0, 16243.0, 16468.0, 16686.0, 16944.0, 16930.0]"
125,"[19488.0, 16438.0, 20678.0, 20167.0, 19716.0, 20901.0, 19499.0, 19863.0, 20817.0, 18732.0]","[19813.0, 19163.0, 17146.0, 18226.0, 16536.0, 16057.0, 17128.0, 20489.0, 18405.0, 20397.0]","[17736.0, 20581.0, 21584.0, 17457.0, 18721.0, 15951.0, 16582.0, 19508.0, 18998.0, 17887.0]","[18983.0, 20764.0, 17408.0, 20361.0, 18524.0, 17311.0, 19402.0, 19178.0, 18030.0, 18966.0]"
126,"[17586.0, 17587.0, 18408.0, 19095.0, 17999.0, 17716.0, 18133.0, 17819.0, 19878.0, 18705.0]","[16939.0, 15675.0, 13559.0, 17136.0, 18436.0, 16090.0, 14394.0, 16568.0, 15887.0, 19602.0]","[17724.0, 15490.0, 15654.0, 15269.0, 17497.0, 16933.0, 16430.0, 16163.0, 16794.0, 16483.0]","[15931.0, 16708.0, 17759.0, 17511.0, 16976.0, 17109.0, 16770.0, 15668.0, 16069.0, 18030.0]"
127,"[14367.0, 14112.0, 17457.0, 14899.0, 16759.0, 14192.0, 14764.0, 16325.0, 15754.0, 14025.0]","[13174.0, 11747.0, 12961.0, 13133.0, 14807.0, 13967.0, 13125.0, 14676.0, 15087.0, 12164.0]","[14725.0, 14574.0, 12656.0, 13097.0, 15996.0, 13487.0, 15557.0, 13141.0, 14643.0, 14581.0]","[14583.0, 15409.0, 14963.0, 15771.0, 14656.0, 15332.0, 14841.0, 14522.0, 13343.0, 14055.0]"
128,"[18729.0, 19643.0, 15732.0, 19020.0, 20004.0, 19257.0, 18409.0, 16695.0, 17429.0, 16939.0]","[15880.0, 18081.0, 16643.0, 13126.0, 15797.0, 16871.0, 15645.0, 17145.0, 16362.0, 18556.0]","[19435.0, 16574.0, 17900.0, 17104.0, 16352.0, 16529.0, 17017.0, 14874.0, 19674.0, 18548.0]","[18531.0, 18637.0, 17932.0, 16374.0, 16838.0, 17665.0, 17807.0, 18685.0, 16554.0, 17796.0]"
129,"[19012.0, 18610.0, 18651.0, 18999.0, 18903.0, 19311.0, 20299.0, 19881.0, 19469.0, 19482.0]","[16603.0, 15850.0, 14728.0, 14804.0, 17996.0, 15685.0, 16269.0, 15027.0, 16449.0, 15709.0]","[17712.0, 20187.0, 15309.0, 17185.0, 17933.0, 17897.0, 16661.0, 14675.0, 15897.0, 15960.0]","[17068.0, 17226.0, 16658.0, 17810.0, 18970.0, 18103.0, 19369.0, 17599.0, 18748.0, 21239.0]"
13,"[14776.0, 16201.0, 14870.0, 18292.0, 14573.0, 15240.0, 15147.0, 16869.0, 16760.0, 16232.0]","[15014.0, 14169.0, 13276.0, 10577.0, 12905.0, 14951.0, 0.0, 16467.0, 15318.0, 13934.0]","[13885.0, 13668.0, 12911.0, 14335.0, 13778.0, 14860.0, 14052.0, 14794.0, 16335.0, 14869.0]","[15165.0, 15430.0, 15595.0, 15302.0, 15145.0, 14477.0, 15468.0, 15183.0, 15063.0, 15459.0]"
130,"[14601.0, 14754.0, 15201.0, 13775.0, 13994.0, 14408.0, 16319.0, 13806.0, 13192.0, 15114.0]","[13367.0, 13836.0, 12303.0, 0.0, 13260.0, 11695.0, 8230.0, 11708.0, 12296.0, 13560.0]","[12878.0, 12349.0, 13296.0, 12897.0, 0.0, 12544.0, 14558.0, 13011.0, 10928.0, 11959.0]","[14298.0, 14418.0, 13953.0, 13713.0, 14449.0, 13655.0, 14092.0, 14728.0, 13796.0, 12754.0]"
131,"[20085.0, 23860.0, 21807.0, 17930.0, 22956.0, 22058.0, 20377.0, 19042.0, 18654.0, 23425.0]","[20725.0, 16014.0, 17042.0, 16942.0, 15730.0, 22069.0, 17007.0, 22760.0, 16390.0, 18628.0]","[19389.0, 20841.0, 18002.0, 19435.0, 20320.0, 19172.0, 18930.0, 17251.0, 20110.0, 19440.0]","[18350.0, 22534.0, 19788.0, 18192.0, 19460.0, 20671.0, 21590.0, 18929.0, 21270.0, 20567.0]"
133,"[18474.0, 18670.0, 18094.0, 17477.0, 20380.0, 20423.0, 18474.0, 18073.0, 18218.0, 20752.0]","[19338.0, 13631.0, 14829.0, 17576.0, 15855.0, 13619.0, 18934.0, 16366.0, 15660.0, 17714.0]","[19241.0, 17530.0, 14663.0, 16566.0, 18399.0, 16175.0, 17140.0, 18276.0, 15088.0, 16438.0]","[19777.0, 17236.0, 18965.0, 17524.0, 19846.0, 17003.0, 16448.0, 18209.0, 18342.0, 17349.0]"
